subject,target,mean,sd,method,db
5,5,0.537895121781312,0.0497300125449006,Euclidean,JASPAR2018_CORE
6,5,0.521258764274842,0.0479266659933874,Euclidean,JASPAR2018_CORE
7,5,0.511168788529907,0.0492432864197073,Euclidean,JASPAR2018_CORE
8,5,0.502347895028623,0.0474904862496413,Euclidean,JASPAR2018_CORE
9,5,0.498203450567939,0.0427640196837466,Euclidean,JASPAR2018_CORE
10,5,0.489986360674328,0.0436362835426851,Euclidean,JASPAR2018_CORE
11,5,0.48996349468105,0.0426304811814042,Euclidean,JASPAR2018_CORE
12,5,0.488174157744001,0.042706749828856,Euclidean,JASPAR2018_CORE
13,5,0.483184646936862,0.0430221136955622,Euclidean,JASPAR2018_CORE
14,5,0.478794253020781,0.0454704658191697,Euclidean,JASPAR2018_CORE
15,5,0.477511885812116,0.0439827039025785,Euclidean,JASPAR2018_CORE
16,5,0.475819808252032,0.040097070703902,Euclidean,JASPAR2018_CORE
17,5,0.472464275819104,0.0409477567753494,Euclidean,JASPAR2018_CORE
18,5,0.473880613446264,0.0409705001478493,Euclidean,JASPAR2018_CORE
19,5,0.468257367397583,0.0401775320834845,Euclidean,JASPAR2018_CORE
20,5,0.463041644142427,0.0418518382196025,Euclidean,JASPAR2018_CORE
21,5,0.469240860352753,0.0407835287722597,Euclidean,JASPAR2018_CORE
22,5,0.462636311551793,0.0405756351378372,Euclidean,JASPAR2018_CORE
23,5,0.457351337218246,0.0375027807471393,Euclidean,JASPAR2018_CORE
24,5,0.457661022653683,0.0421349801064695,Euclidean,JASPAR2018_CORE
25,5,0.465098806789704,0.0430431478690447,Euclidean,JASPAR2018_CORE
26,5,0.460649902799696,0.0405328831389822,Euclidean,JASPAR2018_CORE
27,5,0.459418882254832,0.0376937065657129,Euclidean,JASPAR2018_CORE
28,5,0.458958452250747,0.0391820915462826,Euclidean,JASPAR2018_CORE
29,5,0.459135839481862,0.0383454936424091,Euclidean,JASPAR2018_CORE
30,5,0.458294052778687,0.0371069756497943,Euclidean,JASPAR2018_CORE
5,6,0.500289635072278,0.0570105659033427,Euclidean,JASPAR2018_CORE
6,6,0.530166550692351,0.0616272920222762,Euclidean,JASPAR2018_CORE
7,6,0.510372892903062,0.0572259389207242,Euclidean,JASPAR2018_CORE
8,6,0.496972356300387,0.0557333220764225,Euclidean,JASPAR2018_CORE
9,6,0.490473084807409,0.0534043039828461,Euclidean,JASPAR2018_CORE
10,6,0.480717006793271,0.0537185376220967,Euclidean,JASPAR2018_CORE
11,6,0.478594485626423,0.0512141489880933,Euclidean,JASPAR2018_CORE
12,6,0.477093420500598,0.0517097685020689,Euclidean,JASPAR2018_CORE
13,6,0.470113591931402,0.0508792953291259,Euclidean,JASPAR2018_CORE
14,6,0.467332249881329,0.0517903898234247,Euclidean,JASPAR2018_CORE
15,6,0.465447545184403,0.0523545706684329,Euclidean,JASPAR2018_CORE
16,6,0.464877531330212,0.0523885701992464,Euclidean,JASPAR2018_CORE
17,6,0.462972888479796,0.0513580465486762,Euclidean,JASPAR2018_CORE
18,6,0.460859512651867,0.0502274944136899,Euclidean,JASPAR2018_CORE
19,6,0.458096899293864,0.0510030109218728,Euclidean,JASPAR2018_CORE
20,6,0.45758541343135,0.0504240601811231,Euclidean,JASPAR2018_CORE
21,6,0.456464335975591,0.0509566735528097,Euclidean,JASPAR2018_CORE
22,6,0.454021402906788,0.0498735383775256,Euclidean,JASPAR2018_CORE
23,6,0.449576072409216,0.0497763957139705,Euclidean,JASPAR2018_CORE
24,6,0.450429965123971,0.0503539943829108,Euclidean,JASPAR2018_CORE
25,6,0.451652980560972,0.0504858442945569,Euclidean,JASPAR2018_CORE
26,6,0.448834347869404,0.0518098581061567,Euclidean,JASPAR2018_CORE
27,6,0.44756606336189,0.0511404553059431,Euclidean,JASPAR2018_CORE
28,6,0.44810077570379,0.0497907762006321,Euclidean,JASPAR2018_CORE
