subject,target,mean,sd,method,db
5,5,2.7062314783361,0.386809502583127,KL,JASPAR2018_CORE
6,5,2.55563886629539,0.34967800185625,KL,JASPAR2018_CORE
7,5,2.44453202778457,0.358813833221065,KL,JASPAR2018_CORE
8,5,2.41296262797788,0.343476307858229,KL,JASPAR2018_CORE
9,5,2.36781464194774,0.316570539275649,KL,JASPAR2018_CORE
10,5,2.32178889801803,0.300206547490587,KL,JASPAR2018_CORE
11,5,2.29342726264287,0.317663669939961,KL,JASPAR2018_CORE
12,5,2.2564333379538,0.319338967928801,KL,JASPAR2018_CORE
13,5,2.28766820702241,0.293568911665669,KL,JASPAR2018_CORE
14,5,2.2209120937107,0.283148706394675,KL,JASPAR2018_CORE
15,5,2.22178204820453,0.299250460352651,KL,JASPAR2018_CORE
16,5,2.19263510637502,0.272927098329476,KL,JASPAR2018_CORE
17,5,2.18183995848043,0.306912661215268,KL,JASPAR2018_CORE
18,5,2.17366694030683,0.28196651322327,KL,JASPAR2018_CORE
19,5,2.1762090345869,0.284962345275911,KL,JASPAR2018_CORE
20,5,2.16921951072779,0.282488294999859,KL,JASPAR2018_CORE
21,5,2.13734316076704,0.283555327882116,KL,JASPAR2018_CORE
22,5,2.14658077779239,0.283020119646445,KL,JASPAR2018_CORE
23,5,2.14087084892845,0.261055228192295,KL,JASPAR2018_CORE
24,5,2.12358571807695,0.282437665322555,KL,JASPAR2018_CORE
25,5,2.12120122769332,0.265250600007294,KL,JASPAR2018_CORE
26,5,2.10402230799968,0.276794519728086,KL,JASPAR2018_CORE
27,5,2.11398580251287,0.267539375082823,KL,JASPAR2018_CORE
28,5,2.08342860895907,0.276045777628702,KL,JASPAR2018_CORE
29,5,2.09414960550137,0.274683558681504,KL,JASPAR2018_CORE
30,5,2.08072442636134,0.278407084095796,KL,JASPAR2018_CORE
5,6,2.41237315271366,0.434054307040194,KL,JASPAR2018_CORE
6,6,2.63287498726544,0.474533195894484,KL,JASPAR2018_CORE
7,6,2.44213558026725,0.418192011534406,KL,JASPAR2018_CORE
8,6,2.34862704789104,0.406116600060987,KL,JASPAR2018_CORE
9,6,2.30716677769639,0.391558349156631,KL,JASPAR2018_CORE
10,6,2.26823414368655,0.376153021727529,KL,JASPAR2018_CORE
11,6,2.24031075570074,0.378329537525877,KL,JASPAR2018_CORE
12,6,2.19814502190699,0.367250712887921,KL,JASPAR2018_CORE
13,6,2.19783033555688,0.369354108457808,KL,JASPAR2018_CORE
14,6,2.17170582086004,0.365119338353566,KL,JASPAR2018_CORE
15,6,2.16330594646393,0.362913850991167,KL,JASPAR2018_CORE
16,6,2.12793573296857,0.36170667839065,KL,JASPAR2018_CORE
17,6,2.11780201213012,0.35955048134472,KL,JASPAR2018_CORE
18,6,2.11572652491363,0.355562537536385,KL,JASPAR2018_CORE
19,6,2.0939796876079,0.346838062464859,KL,JASPAR2018_CORE
20,6,2.08587067459295,0.354766227839903,KL,JASPAR2018_CORE
21,6,2.06777593235321,0.354952821596317,KL,JASPAR2018_CORE
22,6,2.07828415516893,0.347993408868508,KL,JASPAR2018_CORE
23,6,2.06529219792768,0.348637977636116,KL,JASPAR2018_CORE
24,6,2.0614530571391,0.343569429890846,KL,JASPAR2018_CORE
25,6,2.05098638714518,0.339346813875104,KL,JASPAR2018_CORE
26,6,2.05050525052002,0.342661660340421,KL,JASPAR2018_CORE
27,6,2.04707381677206,0.342402197866103,KL,JASPAR2018_CORE
28,6,2.03245993765671,0.347744635554812,KL,JASPAR2018_CORE
29,6,2.03120753953409,0.340768540838745,KL,JASPAR2018_CORE
30,6,2.02088216888522,0.344107675236785,KL,JASPAR2018_CORE
5,7,2.17689774433851,0.534753349441878,KL,JASPAR2018_CORE
6,7,2.27271144950122,0.541148847035419,KL,JASPAR2018_CORE
7,7,2.12285767583872,0.515027114918822,KL,JASPAR2018_CORE
8,7,2.07755941854929,0.467960963901102,KL,JASPAR2018_CORE
