subject,target,mean,sd,method,db
5,5,0.153683584291127,0.201098848407782,Pearson,JASPAR2018_CORE
6,5,0.263270297309293,0.163306547702184,Pearson,JASPAR2018_CORE
7,5,0.291949043746066,0.147601418890647,Pearson,JASPAR2018_CORE
8,5,0.351749393834018,0.164805105622953,Pearson,JASPAR2018_CORE
9,5,0.371569095145647,0.147629818880148,Pearson,JASPAR2018_CORE
10,5,0.407892334654012,0.15249293761166,Pearson,JASPAR2018_CORE
11,5,0.431925078939563,0.14299934151436,Pearson,JASPAR2018_CORE
12,5,0.432931558026056,0.140589684421256,Pearson,JASPAR2018_CORE
13,5,0.452853482998887,0.135730406991482,Pearson,JASPAR2018_CORE
14,5,0.472293588736388,0.120405862942553,Pearson,JASPAR2018_CORE
15,5,0.461577897452326,0.122759337997109,Pearson,JASPAR2018_CORE
16,5,0.487569886700977,0.126369365834835,Pearson,JASPAR2018_CORE
17,5,0.487536321922774,0.124534992408553,Pearson,JASPAR2018_CORE
18,5,0.494664206506781,0.130867890781217,Pearson,JASPAR2018_CORE
19,5,0.496602817705421,0.113382370595267,Pearson,JASPAR2018_CORE
20,5,0.502834453771872,0.122628441437763,Pearson,JASPAR2018_CORE
21,5,0.504965992353387,0.113675237115437,Pearson,JASPAR2018_CORE
22,5,0.520450158121,0.103212532577108,Pearson,JASPAR2018_CORE
23,5,0.544749561154055,0.114768599764014,Pearson,JASPAR2018_CORE
24,5,0.535721172697859,0.115449990834264,Pearson,JASPAR2018_CORE
25,5,0.548849326396488,0.106959175686954,Pearson,JASPAR2018_CORE
26,5,0.548188372142273,0.102858242799415,Pearson,JASPAR2018_CORE
27,5,0.541903834152594,0.108052834906702,Pearson,JASPAR2018_CORE
28,5,0.545456294195822,0.104866502931695,Pearson,JASPAR2018_CORE
29,5,0.546750928810947,0.104085940683519,Pearson,JASPAR2018_CORE
30,5,0.562301461329462,0.104027740054053,Pearson,JASPAR2018_CORE
5,6,0.252965735520626,0.191371689960414,Pearson,JASPAR2018_CORE
6,6,0.144429388449117,0.193514819624388,Pearson,JASPAR2018_CORE
7,6,0.219869334107248,0.162842187267901,Pearson,JASPAR2018_CORE
8,6,0.287360393408439,0.1577742673262,Pearson,JASPAR2018_CORE
9,6,0.335199959515587,0.141969670633993,Pearson,JASPAR2018_CORE
10,6,0.345094719526799,0.136397371733768,Pearson,JASPAR2018_CORE
11,6,0.380845509850301,0.129978334412517,Pearson,JASPAR2018_CORE
12,6,0.382836602138271,0.122658832063135,Pearson,JASPAR2018_CORE
13,6,0.40072500464798,0.126538566081014,Pearson,JASPAR2018_CORE
14,6,0.419743817497207,0.115250296252729,Pearson,JASPAR2018_CORE
15,6,0.422810793280734,0.118393024424001,Pearson,JASPAR2018_CORE
16,6,0.433880329873237,0.112180623038826,Pearson,JASPAR2018_CORE
17,6,0.445108997315045,0.109638184119223,Pearson,JASPAR2018_CORE
18,6,0.457715674435175,0.120757758337734,Pearson,JASPAR2018_CORE
19,6,0.463489956220434,0.112303688365634,Pearson,JASPAR2018_CORE
20,6,0.465133311924588,0.107791734043142,Pearson,JASPAR2018_CORE
21,6,0.466018524750287,0.108253854609549,Pearson,JASPAR2018_CORE
22,6,0.470072844709121,0.104066567220979,Pearson,JASPAR2018_CORE
23,6,0.48107128078074,0.0987841522371604,Pearson,JASPAR2018_CORE
24,6,0.486827365555565,0.105843071105751,Pearson,JASPAR2018_CORE
25,6,0.499876461094235,0.104334652918837,Pearson,JASPAR2018_CORE
26,6,0.49664572628107,0.100515191500134,Pearson,JASPAR2018_CORE
27,6,0.499616126037369,0.0980726828593209,Pearson,JASPAR2018_CORE
28,6,0.494510021897559,0.0944666489274033,Pearson,JASPAR2018_CORE
29,6,0.504189889919907,0.10141936548739,Pearson,JASPAR2018_CORE
30,6,0.516155347056491,0.0962062493633831,Pearson,JASPAR2018_CORE
5,7,0.28538940994045,0.194789704583298,Pearson,JASPAR2018_CORE
6,7,0.235533989421748,0.186383312569825,Pearson,JASPAR2018_CORE
7,7,0.240241527152037,0.16159990429217,Pearson,JASPAR2018_CORE
8,7,0.281466633920516,0.169628942038681,Pearson,JASPAR2018_CORE
9,7,0.325043630942145,0.134970276304621,Pearson,JASPAR2018_CORE
10,7,0.336935236372431,0.143900973205574,Pearson,JASPAR2018_CORE
11,7,0.36320347087608,0.134033818938088,Pearson,JASPAR2018_CORE
12,7,0.354313894901929,0.120016023684411,Pearson,JASPAR2018_CORE
13,7,0.381332321755608,0.120923536615559,Pearson,JASPAR2018_CORE
14,7,0.389591504669957,0.110481203521939,Pearson,JASPAR2018_CORE
15,7,0.390682918405916,0.121328942643177,Pearson,JASPAR2018_CORE
16,7,0.404380379708346,0.115044045777196,Pearson,JASPAR2018_CORE
17,7,0.403616916405615,0.104897304111207,Pearson,JASPAR2018_CORE
18,7,0.414613447900188,0.123700719224513,Pearson,JASPAR2018_CORE
19,7,0.441777743392932,0.1153781724839,Pearson,JASPAR2018_CORE
20,7,0.420433382773308,0.109895927521645,Pearson,JASPAR2018_CORE
21,7,0.425036495813891,0.1128255379789,Pearson,JASPAR2018_CORE
22,7,0.434488099648351,0.110444271082992,Pearson,JASPAR2018_CORE
23,7,0.447799975096388,0.106314852466246,Pearson,JASPAR2018_CORE
24,7,0.439999453788949,0.107798795031664,Pearson,JASPAR2018_CORE
25,7,0.462391975758371,0.10959584963228,Pearson,JASPAR2018_CORE
26,7,0.45705806179252,0.0998186891124351,Pearson,JASPAR2018_CORE
27,7,0.468480975091865,0.0994587568624612,Pearson,JASPAR2018_CORE
28,7,0.455054533052202,0.0975678138597802,Pearson,JASPAR2018_CORE
29,7,0.454049547216841,0.102305293413114,Pearson,JASPAR2018_CORE
30,7,0.483328542397026,0.0934713935758512,Pearson,JASPAR2018_CORE
5,8,0.327108270303703,0.172823180565971,Pearson,JASPAR2018_CORE
6,8,0.27375906301278,0.164681819156879,Pearson,JASPAR2018_CORE
7,8,0.294618947646648,0.151656676019261,Pearson,JASPAR2018_CORE
8,8,0.278778856191421,0.157335822048667,Pearson,JASPAR2018_CORE
9,8,0.330617414062354,0.124411020846641,Pearson,JASPAR2018_CORE
10,8,0.346049960222628,0.129129801667189,Pearson,JASPAR2018_CORE
11,8,0.362257303040464,0.122952131505251,Pearson,JASPAR2018_CORE
12,8,0.366683020481994,0.117037714787278,Pearson,JASPAR2018_CORE
13,8,0.382675597217461,0.11266786906747,Pearson,JASPAR2018_CORE
14,8,0.385446020984964,0.10935890086383,Pearson,JASPAR2018_CORE
15,8,0.391953018831132,0.112303909806496,Pearson,JASPAR2018_CORE
16,8,0.40123537682716,0.1101037722626,Pearson,JASPAR2018_CORE
17,8,0.40622869706179,0.102141333948192,Pearson,JASPAR2018_CORE
18,8,0.407197526954274,0.11163525462022,Pearson,JASPAR2018_CORE
19,8,0.421446428804371,0.104485654631876,Pearson,JASPAR2018_CORE
20,8,0.416420126200331,0.104214073467909,Pearson,JASPAR2018_CORE
21,8,0.421380157550126,0.102322441305339,Pearson,JASPAR2018_CORE
22,8,0.42446500147211,0.0995944723522362,Pearson,JASPAR2018_CORE
23,8,0.428292337267696,0.102479449016177,Pearson,JASPAR2018_CORE
24,8,0.436424157963812,0.0976644090770331,Pearson,JASPAR2018_CORE
25,8,0.433566411088613,0.0996562125546388,Pearson,JASPAR2018_CORE
26,8,0.43822255859466,0.0961204229122009,Pearson,JASPAR2018_CORE
27,8,0.443581413367543,0.0931565150152863,Pearson,JASPAR2018_CORE
28,8,0.449539873659515,0.0969848305006077,Pearson,JASPAR2018_CORE
29,8,0.448300638264059,0.0952647197913603,Pearson,JASPAR2018_CORE
30,8,0.458900152937751,0.0906955862227902,Pearson,JASPAR2018_CORE
5,9,0.374728417116708,0.152199646684663,Pearson,JASPAR2018_CORE
6,9,0.326739101382005,0.144671661255151,Pearson,JASPAR2018_CORE
7,9,0.325546391122496,0.133076882792433,Pearson,JASPAR2018_CORE
8,9,0.341145854211069,0.129321273344639,Pearson,JASPAR2018_CORE
9,9,0.330308371424532,0.126865947079119,Pearson,JASPAR2018_CORE
10,9,0.367336981703875,0.117223989002021,Pearson,JASPAR2018_CORE
11,9,0.378264444508784,0.114510818803618,Pearson,JASPAR2018_CORE
12,9,0.376770169103376,0.109518196474423,Pearson,JASPAR2018_CORE
13,9,0.38982232477946,0.110141214714021,Pearson,JASPAR2018_CORE
14,9,0.388785831999239,0.104627191663959,Pearson,JASPAR2018_CORE
15,9,0.397273249627197,0.103517860177443,Pearson,JASPAR2018_CORE
16,9,0.404529752303554,0.104755888358445,Pearson,JASPAR2018_CORE
17,9,0.405366218660052,0.0966344854835786,Pearson,JASPAR2018_CORE
18,9,0.405415523572168,0.102002732931624,Pearson,JASPAR2018_CORE
19,9,0.415416310690992,0.100751400965101,Pearson,JASPAR2018_CORE
20,9,0.415078476601836,0.0979953550152729,Pearson,JASPAR2018_CORE
21,9,0.4140860129435,0.0947049171505497,Pearson,JASPAR2018_CORE
22,9,0.419497765183981,0.0945168830400874,Pearson,JASPAR2018_CORE
23,9,0.42624198893335,0.0956352173244899,Pearson,JASPAR2018_CORE
24,9,0.43006205586736,0.0940243371906127,Pearson,JASPAR2018_CORE
25,9,0.431010949741014,0.0940407251536536,Pearson,JASPAR2018_CORE
26,9,0.433260353414455,0.0907918545499682,Pearson,JASPAR2018_CORE
27,9,0.430608770451094,0.0883489103524433,Pearson,JASPAR2018_CORE
28,9,0.435568593277924,0.0897259393172398,Pearson,JASPAR2018_CORE
29,9,0.43796100470078,0.0884405577083561,Pearson,JASPAR2018_CORE
30,9,0.447904700184999,0.088420150135092,Pearson,JASPAR2018_CORE
5,10,0.379218382185264,0.155337779381613,Pearson,JASPAR2018_CORE
6,10,0.331546540376679,0.15033417853011,Pearson,JASPAR2018_CORE
7,10,0.327414551101143,0.13416862531747,Pearson,JASPAR2018_CORE
8,10,0.336938270543363,0.127903600434518,Pearson,JASPAR2018_CORE
9,10,0.347551674007785,0.115724170019513,Pearson,JASPAR2018_CORE
10,10,0.33866275855565,0.128500904825102,Pearson,JASPAR2018_CORE
11,10,0.366988746694003,0.114949155999387,Pearson,JASPAR2018_CORE
12,10,0.371477433731337,0.109808046821127,Pearson,JASPAR2018_CORE
13,10,0.378687115175321,0.106850160437018,Pearson,JASPAR2018_CORE
14,10,0.379837338940851,0.105732274578707,Pearson,JASPAR2018_CORE
15,10,0.384386790298862,0.106802365727952,Pearson,JASPAR2018_CORE
16,10,0.390683295568935,0.102907041360683,Pearson,JASPAR2018_CORE
